un_code,name_en,lat,lon,comment
736,Sudan [former],12.86281,30.21764,Latitude and longitude added using Sudan's coordinates
740,Suriname,3.919305,-56.027783,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
762,Tajikistan,38.861034,71.276093,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
748,Eswatini,-26.522503,31.465866,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
752,Sweden,60.128161,18.643501,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
756,Switzerland,46.818188,8.227512,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
760,Syrian Arab Republic,34.802075,38.996815,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
795,Turkmenistan,38.969719,59.556278,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
158,Taiwan Province of China,23.69781,120.960515,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
834,United Republic of Tanzania,-6.369028,34.888822,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
764,Thailand,15.870032,100.992541,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
768,Togo,8.619543,0.824782,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
772,Tokelau,-8.967363,-171.855881,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
776,Tonga,-21.178986,-175.198242,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
780,Trinidad and Tobago,10.691803,-61.222503,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
512,Oman,21.512583,55.923255,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
788,Tunisia,33.886917,9.537499,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
792,Türkiye,38.963745,35.243322,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
796,Turks and Caicos Islands,21.694025,-71.797928,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
784,United Arab Emirates,23.424076,53.847818,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
800,Uganda,1.373333,32.290275,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
798,Tuvalu,-7.109535,177.64933,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
810,Union of Soviet Socialist Republics [former],61.52401,105.3188,Latitude and longitude added using Russia's coordinates
826,United Kingdom of Great Britain and Northern Ireland,55.378051,-3.435973,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
804,Ukraine,48.379433,31.16558,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
840,United States of America,37.09024,-95.712891,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
581,United States Minor Outlying Islands,16.736944,-169.523889,Latitude and longitude added using Johnston Island's coordinates
854,Burkina Faso,12.238333,-1.561593,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
858,Uruguay,-32.522779,-55.765835,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
860,Uzbekistan,41.377491,64.585262,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
862,Venezuela (Bolivarian Republic of),6.42375,-66.58973,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
704,Viet Nam,14.058324,108.277199,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
231,Ethiopia,9.145,40.489673,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
092,British Virgin Islands,18.420695,-64.639968,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
850,United States Virgin Islands,18.335765,-64.896335,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
872,Wake Island [former],19.295278,166.631111,Latitude and longitude added using the island's coordinates
876,Wallis and Futuna Islands,-13.768752,-177.156097,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
882,Samoa,-13.759029,-172.104629,Coordinates added from https://github.com/google/dspl/blob/master/samples/google/canonical/countries.csv
402,West Bank [former],31.9,35.2,Latitude and longitude added using Ramallah's coordinates
